touch_number,exchange_number,priority_attacker,lamp,confidence,note
1,16,,single_right,1.000,검토 필요: 단독 램프(single_right) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
2,18,left,double,0.400,"자동 입력: 양측 램프(double) — 두 유효타가 모두 성립해 심판이 우선권을 판정했고, 그 결과가 득점이므로 득점자를 우선권자로 자동 기록"
3,22,left,double,1.000,"자동 입력: 양측 램프(double) — 두 유효타가 모두 성립해 심판이 우선권을 판정했고, 그 결과가 득점이므로 득점자를 우선권자로 자동 기록"
4,23,left,double,1.000,"자동 입력: 양측 램프(double) — 두 유효타가 모두 성립해 심판이 우선권을 판정했고, 그 결과가 득점이므로 득점자를 우선권자로 자동 기록"
5,35,,single_left,1.000,검토 필요: 단독 램프(single_left) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
6,36,,single_left,1.000,검토 필요: 단독 램프(single_left) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
7,37,,single_right,1.000,검토 필요: 단독 램프(single_right) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
8,45,,single_left,1.000,검토 필요: 단독 램프(single_left) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
9,46,,single_left,1.000,검토 필요: 단독 램프(single_left) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
10,47,,single_right,1.000,검토 필요: 단독 램프(single_right) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
11,50,,single_right,1.000,검토 필요: 단독 램프(single_right) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
12,,left,double,1.000,"자동 입력: 양측 램프(double) — 두 유효타가 모두 성립해 심판이 우선권을 판정했고, 그 결과가 득점이므로 득점자를 우선권자로 자동 기록"
13,55,left,double,1.000,"자동 입력: 양측 램프(double) — 두 유효타가 모두 성립해 심판이 우선권을 판정했고, 그 결과가 득점이므로 득점자를 우선권자로 자동 기록"
14,57,,single_left,1.000,검토 필요: 단독 램프(single_left) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
15,59,left,double,1.000,"자동 입력: 양측 램프(double) — 두 유효타가 모두 성립해 심판이 우선권을 판정했고, 그 결과가 득점이므로 득점자를 우선권자로 자동 기록"
16,62,,single_left,1.000,검토 필요: 단독 램프(single_left) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
17,66,,single_right,1.000,검토 필요: 단독 램프(single_right) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
18,67,,single_left,1.000,검토 필요: 단독 램프(single_left) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
19,69,left,double,1.000,"자동 입력: 양측 램프(double) — 두 유효타가 모두 성립해 심판이 우선권을 판정했고, 그 결과가 득점이므로 득점자를 우선권자로 자동 기록"
20,70,,single_right,1.000,검토 필요: 단독 램프(single_right) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
21,73,,single_right,1.000,검토 필요: 단독 램프(single_right) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
22,75,left,double,1.000,"자동 입력: 양측 램프(double) — 두 유효타가 모두 성립해 심판이 우선권을 판정했고, 그 결과가 득점이므로 득점자를 우선권자로 자동 기록"
