touch_number,exchange_number,priority_attacker,lamp,confidence,note
1,,,single_left,1.000,검토 필요: 단독 램프(single_left) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
2,,,single_right,1.000,검토 필요: 단독 램프(single_right) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
3,,,single_right,1.000,검토 필요: 단독 램프(single_right) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
4,8,,single_left,0.700,검토 필요: 단독 램프(single_left) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
5,15,,single_left,1.000,검토 필요: 단독 램프(single_left) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
6,25,right,double,1.000,"자동 입력: 양측 램프(double) — 두 유효타가 모두 성립해 심판이 우선권을 판정했고, 그 결과가 득점이므로 득점자를 우선권자로 자동 기록"
7,,left,double,1.000,"자동 입력: 양측 램프(double) — 두 유효타가 모두 성립해 심판이 우선권을 판정했고, 그 결과가 득점이므로 득점자를 우선권자로 자동 기록"
8,31,right,double,1.000,"자동 입력: 양측 램프(double) — 두 유효타가 모두 성립해 심판이 우선권을 판정했고, 그 결과가 득점이므로 득점자를 우선권자로 자동 기록"
9,39,,single_left,1.000,검토 필요: 단독 램프(single_left) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
10,44,,single_left,1.000,검토 필요: 단독 램프(single_left) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
11,,,,0.000,검토 필요: 램프 미판독 — 해당 구간에서 유효 램프 이벤트를 찾지 못함. 사람이 영상으로 확인
12,57,,single_right,1.000,검토 필요: 단독 램프(single_right) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
13,59,,single_right,1.000,검토 필요: 단독 램프(single_right) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
14,62,right,double,0.828,"자동 입력: 양측 램프(double) — 두 유효타가 모두 성립해 심판이 우선권을 판정했고, 그 결과가 득점이므로 득점자를 우선권자로 자동 기록"
15,64,right,double,1.000,"자동 입력: 양측 램프(double) — 두 유효타가 모두 성립해 심판이 우선권을 판정했고, 그 결과가 득점이므로 득점자를 우선권자로 자동 기록"
16,68,,single_right,1.000,검토 필요: 단독 램프(single_right) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
17,75,,single_left,0.824,검토 필요: 단독 램프(single_left) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
18,79,right,double,1.000,"자동 입력: 양측 램프(double) — 두 유효타가 모두 성립해 심판이 우선권을 판정했고, 그 결과가 득점이므로 득점자를 우선권자로 자동 기록"
19,80,,single_right,1.000,검토 필요: 단독 램프(single_right) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
20,83,,single_left,0.864,검토 필요: 단독 램프(single_left) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
21,84,,single_left,1.000,검토 필요: 단독 램프(single_left) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
22,92,,single_right,1.000,검토 필요: 단독 램프(single_right) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
23,96,right,double,0.856,"자동 입력: 양측 램프(double) — 두 유효타가 모두 성립해 심판이 우선권을 판정했고, 그 결과가 득점이므로 득점자를 우선권자로 자동 기록"
24,100,,single_left,0.848,검토 필요: 단독 램프(single_left) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
25,102,,single_left,1.000,검토 필요: 단독 램프(single_left) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
26,,,,0.000,검토 필요: 램프 미판독 — 해당 구간에서 유효 램프 이벤트를 찾지 못함. 사람이 영상으로 확인
